Player_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Is_Umpire
322,P Negi,Left_Hand,Slow left-arm orthodox,India,0
323,RJ Peterson,Left_Hand,Slow left-arm orthodox,South Africa,0
324,KMDN Kulasekara,Right_Hand,Right-arm fast-medium,Sri Lanka,0
325,A Ashish Reddy,Right_Hand,Right-arm medium,India,0
326,V Pratap Singh,Right_Hand,Right-arm medium,India,0
327,BB Samantray,Right_Hand,NULL,India,0
328,MJ Clarke,Right_Hand,Slow left-arm orthodox,Australia,0
329,Gurkeerat Singh,Right_Hand,Right-arm offbreak,India,0
330,AP Majumdar,Right_Hand,Legbreak googly,India,0
331,PA Reddy,Right_Hand,Legbreak,India,0
332,K Upadhyay,Right_Hand,Right-arm medium,India,0
333,P Awana,Right_Hand,Right-arm medium,India,0
334,AD Russell,Right_Hand,Right-arm fast,West Indies,0
335,A Chandila,Right_Hand,Right-arm offbreak,India,0
336,CA Lynn,Right_Hand,Slow left-arm orthodox,Australia,0
337,Sunny Gupta,Right_Hand,Right-arm offbreak,India,0
338,MC Juneja,Right_Hand,Right-arm offbreak,India,0
339,KK Nair,Right_Hand,Right-arm offbreak,India,0
340,GH Vihari,Right_Hand,Right-arm offbreak,India,0
341,MDKJ Perera,Left_Hand,NULL,Sri Lanka,0
342,R Shukla,Right_Hand,Right-arm medium,India,0
343,B Laughlin,Right_Hand,Right-arm fast-medium,Australia,0
344,AS Rajpoot,Right_Hand,Right-arm medium,India,0
345,M Vohra,Right_Hand,Right-arm medium,India,0
346,JD Unadkat,Right_Hand,Left-arm medium,India,0
347,Mohammed Shami,Right_Hand,Right-arm fast-medium,India,0
348,BMAJ Mendis,Left_Hand,Legbreak,Sri Lanka,0
349,R Rampaul,Left_Hand,Right-arm fast-medium,West Indies,0
350,CH Morris,Right_Hand,Right-arm fast-medium,South Africa,0
351,SV Samson,Right_Hand,NULL,India,0
352,SMSM Senanayake,Right_Hand,Right-arm offbreak,Sri Lanka,0
353,BJ Rohrer,Left_Hand,NULL,Australia,0
354,KL Rahul,Right_Hand,NULL,India,0
355,Q de Kock,Left_Hand,NULL,South Africa,0
356,R Dhawan,Right_Hand,Right-arm medium-fast,India,0
357,MG Johnson,Left_Hand,Left-arm fast,Australia,0
358,LJ Wright,Right_Hand,Right-arm medium-fast,England,0
